V1,V2,V3
-61.6871508379888,51.9329608938547,412.953735351562
-61.6201117318436,51.9329608938547,456.063751220703
-61.5530726256983,51.9329608938547,509.392242431641
-61.4860335195531,51.9329608938547,453.672241210938
-61.4189944134078,51.9329608938547,468.642242431641
-61.3519553072626,51.9329608938547,476.462249755859
-61.2849162011173,51.9329608938547,519.922241210938
-61.2178770949721,51.9329608938547,536.022216796875
-61.1508379888268,51.9329608938547,525.512268066406
-61.0837988826816,51.9329608938547,533.012268066406
-61.0167597765363,51.9329608938547,516.701904296875
-60.9497206703911,51.9329608938547,510.001922607422
-60.8826815642458,51.9329608938547,494.021911621094
-60.8156424581006,51.9329608938547,484.111907958984
-60.7486033519553,51.9329608938547,466.351928710938
-60.6815642458101,51.9329608938547,455.561920166016
-60.6145251396648,51.9329608938547,407.911926269531
-60.5474860335196,51.9329608938547,397.371917724609
-60.4804469273743,51.9329608938547,355.826416015625
-60.4134078212291,51.9329608938547,346.376403808594
-60.3463687150838,51.9329608938547,343.216400146484
-60.2793296089385,51.9329608938547,360.216400146484
-60.2122905027933,51.9329608938547,389.026397705078
-60.145251396648,51.9329608938547,318.126403808594
-60.0782122905028,51.9329608938547,363.116424560547
-60.0111731843575,51.9329608938547,363.576416015625
-59.9441340782123,51.9329608938547,395.383117675781
-59.877094972067,51.9329608938547,390.313110351562
-59.8100558659218,51.9329608938547,391.403106689453
-59.7430167597765,51.9329608938547,373.503112792969
-59.6759776536313,51.9329608938547,356.793090820312
-59.608938547486,51.9329608938547,364.573120117188
-59.5418994413408,51.9329608938547,379.963104248047
-59.4748603351955,51.9329608938547,376.43310546875
-59.4078212290503,51.9329608938547,403.82568359375
-59.340782122905,51.9329608938547,391.115692138672
-59.2737430167598,51.9329608938547,298.145690917969
-59.2067039106145,51.9329608938547,294.615692138672
-59.1396648044693,51.9329608938547,239.015701293945
-59.072625698324,51.9329608938547,321.715698242188
-59.0055865921788,51.9329608938547,331.665710449219
-58.9385474860335,51.9329608938547,383.635711669922
-58.8715083798883,51.9329608938547,338.897430419922
-58.804469273743,51.9329608938547,337.387420654297
-58.7374301675978,51.9329608938547,361.917419433594
-58.6703910614525,51.9329608938547,256.597442626953
-58.6033519553073,51.9329608938547,335.977416992188
-58.536312849162,51.9329608938547,347.237426757812
-58.4692737430168,51.9329608938547,327.007415771484
-58.4022346368715,51.9329608938547,250.937423706055
-58.3351955307263,51.9329608938547,323.104736328125
-58.268156424581,51.9329608938547,309.664733886719
-58.2011173184358,51.9329608938547,353.454711914062
-58.1340782122905,51.9329608938547,275.064727783203
-58.0670391061453,51.9329608938547,366.754730224609
-58,51.9329608938547,339.084716796875
-70,51.8659217877095,605.989562988281
-69.9329608938548,51.8659217877095,618.149597167969
-69.8659217877095,51.8659217877095,568.019592285156
-69.7988826815643,51.8659217877095,571.179565429688
-69.731843575419,51.8659217877095,563.649597167969
-69.6648044692737,51.8659217877095,561.599609375
-69.5977653631285,51.8659217877095,593.614990234375
-69.5307262569832,51.8659217877095,623.405029296875
-69.463687150838,51.8659217877095,563.775024414062
-69.3966480446927,51.8659217877095,440.635009765625
-69.3296089385475,51.8659217877095,445.725006103516
-69.2625698324022,51.8659217877095,479.674987792969
-69.195530726257,51.8659217877095,591.215026855469
-69.1284916201117,51.8659217877095,519.684997558594
-69.0614525139665,51.8659217877095,517.919982910156
-68.9944134078212,51.8659217877095,593.549987792969
-68.927374301676,51.8659217877095,592.93994140625
-68.8603351955307,51.8659217877095,582.599975585938
-68.7932960893855,51.8659217877095,559.199951171875
-68.7262569832402,51.8659217877095,552.449951171875
-68.659217877095,51.8659217877095,489.359954833984
-68.5921787709497,51.8659217877095,571.449951171875
-68.5251396648045,51.8659217877095,446.54248046875
-68.4581005586592,51.8659217877095,454.952484130859
-68.391061452514,51.8659217877095,572.652465820312
-68.3240223463687,51.8659217877095,514.402465820312
-68.2569832402235,51.8659217877095,477.872497558594
