"year"	"Asym"	"xmid"	"scal"	"doytop"	"doymin"	"doymax"	"doymin70"	"doymax70"	"duration"	"date.med"	"prob_at_med"	"propIClwr"	"propICupr"	"propsd"	"survey_date"
1992	14.5289969187246	179.20787819767	-10.6374159518962	179	140	217	161	197	77	173	0.0216062208802014	0.0204231229388041	0.0212100869199038	0.000291768116245112	"During 70 % of spawning"
1993	19.2951470310318	174.053867564009	-13.9331373853273	174	123	224	150	197	101	170	0.0175667238643899	0.0158453622674738	0.0185090568245783	0.000813609150521548	"During 70 % of spawning"
1994	15.5550304242056	175.868097177961	-13.7093526301862	176	126	225	152	199	99	168	0.0168114627438897	0.015870923958128	0.0168810140152754	0.000387302975689767	"During 70 % of spawning"
1995	14.6133914529832	179.095456010136	-8.63639038522139	179	147	210	164	193	63	NA	NA	NA	NA	NA	NA
1996	17.2255729189297	171.843829225449	-10.5394831073157	172	133	209	154	189	76	173	0.0236447172300948	0.0212429658603897	0.0238014004951704	0.000854223590620306	"During 70 % of spawning"
1997	15.583976417566	178.156356068191	-9.24057166564006	178	144	211	162	193	67	NA	NA	NA	NA	NA	NA
1998	16.4229738230191	169.400590498283	-11.2961574783003	169	128	210	150	188	82	167	0.0218799683360754	0.0200659233798952	0.0214582408847343	0.000547590398677206	"During 70 % of spawning"
1999	24.2986200110805	148.044476107946	-15.1405598692439	148	93	203	122	173	110	173	0.00893792958983899	0.00786724331730675	0.00997150213143319	0.000655584302160226	"During 70 % of spawning"
2000	15.4971358643567	173.599915319213	-12.1646125047388	174	129	217	152	194	88	173	0.0205360551016693	0.0179129062101678	0.0206308410016323	0.00107538105689818	"During 70 % of spawning"
2001	13.8616914668991	172.394743041203	-4.73454299368129	172	155	189	164	180	34	166	0.0345187233691335	0.0349867718396362	0.0365082292538779	0.000593251949580687	"During 70 % of spawning"
2002	14.8699845424327	176.885888299995	-11.4678248465544	177	135	218	157	196	83	170	0.0199451179053638	0.0184467533145415	0.0206364406553475	0.000656883569511949	"During 70 % of spawning"
2003	17.0814673752506	171.962649212562	-8.54950226900437	172	141	202	157	186	61	171	0.0291407558004258	0.027201523528885	0.0299016399822463	0.00105863880307446	"During 70 % of spawning"
2004	15.3453803982869	178.120872036363	-10.1081926848205	178	141	214	161	195	73	171	0.0218980288417007	0.0205700619587885	0.0229148943891361	0.000739023591146748	"During 70 % of spawning"
2005	20.0378648137115	174.384389821005	-10.2549447928952	174	137	211	157	191	74	170	0.0232935306468527	0.0224459880636684	0.0238584190772967	0.000495039030157613	"During 70 % of spawning"
2006	18.9434254223072	166.703795460798	-8.93843385159541	167	134	198	151	181	64	186	0.0103842831368929	0.0099981139479602	0.0103166415878219	0.000112989250185743	"Late survey"
2007	15.7233814611625	178.385053724121	-7.34453539345153	178	151	204	166	190	53	177	0.0337253828139394	0.0306981473879152	0.0344202442990254	0.00141869320215101	"During 70 % of spawning"
2008	13.982252290027	176.285084278135	-5.4820382263053	176	156	195	167	185	39	177	0.0453790771398429	0.0419565060739961	0.0480032882970407	0.00201720507446012	"During 70 % of spawning"
2009	12.5498295507936	174.062729501559	-5.48248841436637	174	154	193	165	183	39	168	0.0340704541303984	0.0323005281740787	0.0371108549722857	0.00183275344209465	"During 70 % of spawning"
2010	15.7471126637053	171.237205554577	-8.52504773182003	171	140	201	156	185	61	166	0.0267180277321579	0.0251012304561524	0.0277059468785752	0.000888895835597781	"During 70 % of spawning"
2011	18.2239233679897	168.673753653853	-6.88594310153199	169	143	193	157	180	50	166	0.0349573885086855	0.0327714641741822	0.0363372834760542	0.00113796319056058	"During 70 % of spawning"
2012	19.6469362739794	159.400218129429	-9.38961214230169	159	125	193	143	175	68	168	0.0217363250391424	0.019100008171803	0.0243181788671815	0.00171461993553291	"During 70 % of spawning"
2013	15.8758030411153	170.123818960968	-8.09762582552125	170	140	199	156	183	59	167	0.02974410020993	0.0271941290668381	0.0302979649441066	0.00113848750664393	"During 70 % of spawning"
2014	17.728808911994	168.122312621612	-7.80287326503226	168	140	196	155	181	56	166	0.0314439772719799	0.0281874428331168	0.0331549023182496	0.00182290004089517	"During 70 % of spawning"
2015	18.3708588208812	172.053380809728	-7.61015903045065	172	144	199	159	184	55	167	0.0294726074081143	0.0277008725598542	0.031065544273404	0.00116663356889268	"During 70 % of spawning"
2016	21.1085206059118	166.259576773656	-10.9491017525112	166	126	205	147	184	79	169	0.0224753205955274	0.0200578012672795	0.0234251908811654	0.0010407664102027	"During 70 % of spawning"
2017	14.9623825646729	174.878214432751	-4.78833097257923	175	157	191	167	182	34	164	0.0177139882472065	0.0182630378662099	0.0207217200486409	0.000759955337505179	"Early survey"
2018	14.239358718969	175.995967964143	-6.09988466747444	176	154	197	165	186	43	172	0.0368692926562298	0.0312104714450514	0.0400077003467056	0.00290114168083863	"During 70 % of spawning"
2019	16.3645882095829	177.963094027153	-7.01803782523781	178	152	203	166	189	51	162	0.0120531979630661	0.0121285465873032	0.0145006936751494	0.000803460211895004	"Early survey"
2020	17.6181080134522	172.467443344368	-3.01530455711072	172	161	183	167	177	22	NA	NA	NA	NA	NA	NA
2021	15.7607487951457	167.176389877228	-7.42922553013647	167	140	193	154	179	53	169	0.0331370930539634	0.0294410174560292	0.0346605566710867	0.00183656931256242	"During 70 % of spawning"
2022	19.083905906823	163.279579468524	-10.3162903610803	163	125	200	145	180	75	171	0.0211312174805351	0.0174316428631515	0.0263576978079857	0.00307151729775565	"During 70 % of spawning"
2023	18.5421910260212	164.947512690124	-10.4384768349706	165	127	202	147	182	75	172	0.0214092180176052	0.0177538000677581	0.0226938547911128	0.00171879047354842	"During 70 % of spawning"
2024	13.6139595685838	164.482519198167	-4.08185912879215	164	150	178	157	171	28	174	0.0197950662732881	0.0181266627491153	0.0202885993982792	0.000786544848459856	"Late survey"
2025	20.7848269082991	158.703417970484	-8.40988830797421	159	128	189	144	172	61	169	0.0208754257946029	0.0180223869348265	0.0220998772878664	0.00146058233957787	"During 70 % of spawning"
